STT,Văn bản
55,Tại sao trong cùng khoa lại có 2 CLB cùng mục đích giống nhau là Pro và IT? Ở IT em có quyền lợi gì và ở Pro em có quyền lợi gì? Tại sao lại phải tách làm 2 CLB ạ ? Dù chung 1 mục đích là hỗ trợ sinh viên trên con đường học tập nhưng mỗi CLB đều có hướng đi riêng tạo nên những màu sắc đặc trưng riêng. Về quyền lợi khi tham gia ITPTIT em nên đặt câu hỏi với thành viên trong CLB để có thể nhận được câu trả lời chính xác và đầy đủ nhất (hoặc tự tham gia training để trải nghiệm). Còn khi tham gia ProPTIT em sẽ có những lợi thế về các môn chuyên ngành trên trường. CLB sẽ giúp các em định hướng phát triển các kỹ năng lập trình. Bên cạnh đó CLB còn tổ chức các hoạt động ngoại khóa để các thành viên gắn kết hơn. Ngoài ra khi tham gia vào các CLB em sẽ có cơ hội được cộng 0.1 điểm khuyến khích học bổng (Đây sẽ là 1 lợi thế rất lớn khi xét học bổng tại Học Viện vào cuối kì em nhé).
56,"Khi trở thành thành viên chính thức, bọn em cần phải có nghĩa vụ gì đối với CLB ạ ? Khi trở thành thành viên chính thức của CLB, em cần theo lộ trình học tập clb, tham gia nhiệt tình các hoạt động trong CLB, duy trình truyền thống CLB đó là các anh chị khoá trên sẽ dạy các em khoá dưới và quay lại giúp đỡ CLB những khi cần. "
57,Lộ trình học tại CLB:
58,"TRAINING: Trong quá trình training, các bạn sẽ được đào tạo và sử dụng thành thạo về ngôn ngữ C. Ngôn ngữ C là một ngôn ngữ phổ biến, cú pháp tường minh, dễ sử dụng đối với những người bắt đầu với lập trình. Và điều đặc biệt cho các PTITER là ngôn ngữ C sẽ được học vào kỳ 2 năm nhất, cho nên bạn sẽ có lợi thế khi mà tham gia khoá training này."
59,"Kì 1 năm nhất:  Ngôn ngữ C++ đóng một vai trò quan trọng trong việc học lập trình. Nắm bắt được tầm quan trọng đó Câu lạc bộ đã xây dựng lên khóa học Lập trình với C++ để cung cấp một lượng kiến thức về ngôn ngữ C++ nói riêng, và các khái niệm khác trong lập trình nói chung cho các thành viên trong CLB."
60,"Kì 2 năm nhất: Trong kì II năm nhất, các thành viên học thêm về cấu trúc dữ liệu và giải thuật. Khóa học kéo dài trong hai tháng bao gồm các vấn đề như: Sắp xếp và tìm kiếm, các phương pháp sinh, chia để trị, quy hoạch động, đồ thị,... sẽ trang bị cho thành viên Câu lạc bộ những kiến thức cơ bản và nâng cao trong bộ môn cấu trúc dữ liệu và giải thuật."
61,"Kì 1 năm hai: Trong vòng 1 tháng các thành viên sẽ được làm quen với lập trình hướng đối tượng sử dụng ngôn ngữ C++. Khóa học kết thúc bằng cuộc thi làm Game, trong cuộc thi này các thành viên sẽ vận dụng kiến thức mình tích luỹ được để làm project đầu tiên trong sự nghiệp làm lập trình viên của mình."
62,"Kì 2 năm hai: Khóa học kéo dài trong 1 tháng sẽ giúp mọi người có được tư duy lập trình hướng đối tượng. Bên cạnh đó mọi người còn học ngôn ngữ Java, một ngôn ngữ lập trình hướng đối tượng, để có thể tự viết cho mình một ứng dụng bằng Java đơn giản qua cuộc thi ProGAPP."
63,"TEAM dự án: Trong CLB, có các team dự án như: Team AI, Team Mobile, Team Web, Team Game,... Mỗi team dự án có một hướng phát triển và học tập riêng về mảng team hướng đến. Với phương châm ""Chia sẻ để cùng nhau phát triển"", team dự án sẽ luôn gắn bó cùng nhau ở cả hiện tại cũng như tương lai sau này."
64,MỘT VÀI SẢN PHẨM:
65,"GAME C++ CỦA KHOÁ D20: C++ là một trong những ngôn ngữ lập trình khá nổi tiếng, nó là bản nâng cấp của ngôn ngữ ngữ lập trình C khi có thêm OOP (Object Oriented Programming - Lập trình hướng đối tượng). Trong vòng 1 tháng các thành viên sẽ được làm quen với lập trình hướng đối tượng sử dụng ngôn ngữ C++. Khóa học kết thúc bằng cuộc thi làm Game, trong cuộc thi này các thành viên sẽ vận dụng kiến thức mình tích luỹ được để làm project đầu tiên trong sự nghiệp làm lập trình viên của mình."
66,"APP JAVA CỦA KHOÁ D21: Lập trình hướng đối tượng là một trong nhữ kỹ thuật lập trình rất quan trọng và được sử dụng nhiều hiện nay. Trong khóa học khoảng 1 tháng sẽ giúp mọi người có được tư duy lập trình hướng đối tượng. Bên cạnh đó mọi người còn học ngôn ngữ Java, một ngôn ngữ lập trình hướng đối tượng, để có thể tự viết cho mình một ứng dụng bằng Java đơn giản qua cuộc thi ProGAPP vào cuối khóa."
67,"SẢN PHẨM CỦA TEAM GAME: Đây là store game của team Game. Team đã lập lên store này với mục đích chia sẻ những sản phẩm mà team làm ra đến với mọi người và cũng là để học hỏi lẫn nhau. Trong store có rất nhiều game hay và thú vị, mọi người hãy cài đặt và thưởng thức nha."
68,"CLB thường xuyên có các sự kiện lớn nhỏ, được tổ chức giúp gắn kết các thành viên trong CLB cũng như mở rộng các mối quan hệ bên ngoài CLB. Các sự kiện tổ chức ra cũng là để mọi người giải trí sau những giờ học trên trường cũng như ở CLB."
69,Sự kiện nội bộ của CLB:
70,"Biggame training là sự kiện thường niên được tổ chức với quy mô lớn nhất diễn ra vào cuối mỗi kì training ProPTIT. Với sự tham gia đông đảo của các anh chị, các bạn và các thành viên training, sự kiện giúp các thành viên training được giao lưu làm quen với nhau và tạo được nhiều dấu ấn, kỷ niệm khó quên trong lòng mỗi người."
71,"SPOJ TOURNAMENT là một cuộc thi lập trình nội bộ thường niên của CLB Lập Trình PTIT. Đến với cuộc thi, các thí sinh sẽ phải trải qua một cuộc đua gấp rút và phải hoàn thành mục tiêu - số lượng bài đã được đặt ra trước đó trong thời gian sớm nhất có thể. Đây là một cuộc thi quan trọng giúp các thành viên có thể rèn luyện kỹ năng, học thêm nhiều kiến thức mới để dần hoàn thiện tư duy cũng như tăng tốc độ code của mình."
72,"PROCWAR Là một cuộc thi được tổ chức nhằm nâng cao tư duy thuật toán cho các thành viên của CLB Lập Trình PTIT. Mỗi thành viên sẽ chuẩn bị problems và solutions của từng bài sau đó sẽ được tổng hợp thành một contest chung. Người chơi nào giải quyết được nhiều problems nhất sẽ là người giành chiến thắng. Chính vì sự thú vị của cuộc thi, PROCWAR luôn được các thành viên trong CLB tham gia nồng nhiệt."
73,"Các chuyến dã ngoại được tổ chức giúp thành viên CLB được thư giãn sau những ngày học tập và hoạt động căng thẳng. Sự kiện này là dịp gắn kết mọi người, rút ngắn khoảng cách giữa các thành viên, tạo điều kiện để các thành viên có dịp chia sẻ với nhau về cuộc sống, học tập."
74,"Được khởi xướng bởi anh Triệu Khương Duy khóa D15, Game C++ đã trở thành 1 cuộc thi hằng năm của CLB. Mỗi một sản phẩm đều là một thử thách, đòi hỏi các thành viên phải nắm được những kiến thức mình đã học về hướng đối tượng, các thuật toán,... và vận dụng vào sản phẩm của mình một cách tốt nhất. Tiếp nối thành công từ những anh chị khóa trước, Game C++ hứa hẹn sẽ tiếp tục là một cuộc thi thú vị, ngày càng có nhiều sản phẩm chất lượng."
75,"PAMA-CUP là cuộc thi sử dụng ngôn ngữ lập trình C++. Với input là các thông số của trò chơi, người chơi phải áp dụng các thuật toán, giải thuật đồ thị để đưa ra hướng đi cho Pacman và Ghost trong tựa game Pacman nổi tiếng. Đây là một cuộc rượt đuổi kịch tính, hài hước nhưng không kém phần cạnh tranh và quyết liệt giữa các thành viên trong CLB."
76,"Sinh nhật là một bữa tiệc không thể thiếu đối với mỗi CLB hằng năm và hẳn là CLB Lập Trình PTIT cũng không phải ngoại lệ. Vào sinh nhật, các thành viên CLB có dịp được ngồi lại trò chuyện với nhau, hiểu thêm về truyền thống và con đường mà CLB Lập Trình PTIT đã trải qua. Từ đó, các thành viên sẽ tổng kết những việc đã làm được trong một năm và đề ra kế hoạch, đặt ra các mục tiêu để CLB luôn luôn phát triển."
77,ProGApp là một cuộc thi lập trình Ứng Dụng và Game bằng Java thường niên dành cho thành viên từng khóa của CLB Lập Trình PTIT. Cuộc thi yêu cầu các thành viên hoàn thành một sản phẩm từ việc sử dụng ngôn ngữ lập trình Java và áp dụng các kiến thức về lập trình hướng đối tượng. Đã có rất nhiều sản phẩm vô cùng chất lượng và sáng tạo được tạo ra bới chính các thành viên CLB từ cuộc thi này
78,"PROPTIT MARATHON “Có sức khỏe là có tất cả” Hưởng ứng tinh thần trên, tất cả các thành viên của CLB Lập Trình PTIT tham gia cuộc thi chạy Marathon. Cuộc thi đã tạo ra không khí lành mạnh sau những giờ làm việc và học tập căng thẳng, đồng thời nâng cao tinh thần thể dục thể thao của các thành viên đang hoạt động trong CLB."
79,Sự kiện đối ngoại của CLB:
80,"Code Battle là cuộc thi được tổ chức nhằm mục đích phát huy tinh thần học tập và là cơ hội cho sinh viên được giao lưu. Do các câu lạc bộ đến từ các trường đại học khu vực Hà Nội: Đại học Thăng Long, FPT và Học viện Bưu chính Viễn thông,... đồng tổ chức."
81,"Cuộc đua số là cuộc thi lập trình công nghệ thường niên dành cho các sinh viên yêu thích công nghệ trên toàn quốc được tổ chức bởi tập đoàn FPT. Với mục đích tạo sân chơi hấp dẫn, bổ ích, thúc đẩy đam mê học hỏi, cập nhật, thực hành và sáng tạo các công nghệ mới trên thế giới, trên cơ sở hiểu biết và nắm vững nhu cầu của các ngành công nghiệp cho sinh viên Việt Nam, góp phần xây dựng nguồn lực chất lượng cao, đáp ứng nhu cầu của cuộc cách mạng 4.0"
82,"Game Jam là một cuộc thi mà người tham gia cố gắng tạo ra một trò chơi điện tử từ đầu. Tuỳ thuộc vào hình thức, những người tham gia cuộc thi có thể làm việc độc lập hoặc theo nhóm. Thời lượng cho cuộc thi thường là từ 24 đến 72 giờ. Những người tham gia thường là lập trình viên, nhà thiết kế trò chơi, nghệ sĩ, nhà văn và những người khác trong lĩnh vực liên quan đến phát triển trò chơi"
83,"Nhằm mục đích nâng cao kỹ năng và niềm yêu thích lập trình cho sinh viên, Học viện Công nghệ BCVT đã tổ chức kỳ thi lập trình theo chuẩn ACM/ICPC từ năm 2010. Sự thành công của các kỳ thi trước đã tạo nên một sân chơi vui và bổ ích cho sinh viên, góp phần thúc đẩy phong trào học tập các môn lập trình và phát triển phần mềm cũng như bước đầu nâng cao thành tích của đội tuyển Olympic Tin học sinh viên."
84,"Được hợp tác tổ chức bới CLB Lập trình PTIT và CLB EGG dành cho thành viên của cả hai CLB với chủ đề “Xu hướng phát triển AI”. Buổi Talkshow đã gắn kết thành viên của cả 2 CLB với những trò chơi vô cùng thú vị. Qua đó, các thành viên của cả 2 CLB đã có cơ hội trao đổi, làm việc nhóm cùng nhau và biết thêm nhiều về văn hóa của mỗi CLB."
85,Sự kiện của cộng đồng S2B:
86,"BIG GAME S2B Là một hoạt động ngoại khóa thường niên được tổ chức nhằm mục đích gắn kết các thành viên giữa ba câu lạc bộ thuộc cộng đồng S2B là CLB Lập trình PTIT, CLB Multimedia PTIT và CLB Nhà sáng tạo game PTIT. Đây là buổi để 3 bên CLB Multimedia PTIT, CLB Nhà sáng tạo game PTIT và CLB PROPTIT gặp mặt, cùng nhau nhìn lại chặng đường đã qua và đồng thời tri ân thế hệ đi trước."
87,"Sinh nhật S2B là dịp để 3 bên CLB Multimedia PTIT CLB Lập trình PTIT và CLB Nhà sáng tạo game PTIT gặp mặt, cùng nhau nhìn lại chặng đường đã qua và đồng thời tri ân thế hệ đi trước. Bữa tiệc luôn tràn đầy sự ấm cúng, trẻ trung, vui vẻ cùng với nhiều hoạt động sôi nổi giữa các thành viên giữa ba CLB và khách mời, cùng tạo nên không khí một bữa tiệc sinh nhật tuyệt vời nhất."
88,PHÒNG TRUYỀN THỐNG:
89,"CLB Lập Trình PTIT là một trong những CLB học thuật được thành lập sớm nhất tại Học viện. CLB có một bề dày truyền thống đáng tự hào, một truyền thống được xây dựng và ngày càng lớn mạnh qua từng thế hệ, từng giải thưởng, từng thành tựu mà CLB đã đạt được."
90,"ANH Chế Đình Sơn - NGƯỜI ANH CẢ CỦA ĐẠI GIA ĐÌNH PROPTIT: Anh Chế Đình Sơn - Sinh viên khóa D09 tại Học viện Công Nghệ Bưu Chính Viễn Thông, người đã đặt những viên gạch đầu tiên, xây dựng CLB Lập Trình PTIT. Ngày 09/10/2011, CLB Lập Trình PTIT chính thức được ra đời với mục đích giúp đỡ các bạn sinh viên học lập trình, tạo ra một môi trường học tập và làm việc năng động, sáng tạo. Trải qua quãng thời gian 10 năm hình thành và phát triển, Câu Lạc Bộ vẫn luôn kế thừa, phát huy những giá trị tư tưởng cốt lõi mà anh Sơn và các anh chị tiền nhiệm để lại, đó chính là tiền đề để ProPTIT phát triển lớn mạnh như bây giờ."
91,NHỮNG THÀNH VIÊN TIÊU BIỂU:
92,"Trong lịch sử 10 năm hình thành và phát triển, các thành viên đã cống hiến hết mình, để lại những dấu ấn khó phai cho các thế hệ đi sau. Có thể nói, các anh chị là người định hướng và duy trì con đường phát triển của Câu Lạc Bộ cho tới tận bây giờ. Vậy những người mang tầm ảnh hưởng đó là ai, hãy cùng tìm hiểu một số thông tin cơ bản cùng chúng mình nhé!"
93,"Các thành viên tiêu biểu: Chế Đình Sơn: Người sáng lập - Chủ nhiệm khóa 2010-2011, Nguyễn Tuấn Ninh: Phó chủ nhiệm CLB khóa 2011-2012, Cao Hải Yến: Chủ nhiệm CLB khóa 2011-2012, Chu Ngọc Định: Trưởng ban Tài chính - Nhân sự khóa 2012-2013, Lại Đắc Việt: Trưởng ban Đào Tạo khóa 2012-2013, Lê Văn Thanh: Trưởng ban Sự Kiện khóa 2012-2013, Lê Xuân Tùng: Trưởng ban Đào Tạo khóa 2013-2014, Trần Hoàng Linh: Trưởng ban sự kiện khóa 2013-2014, Nguyễn Hoàng Nam: Chủ nhiệm khóa 2015-2016, Trần Phú Quang: Phó chủ nhiệm khóa 2015-2016, Đàm Bá Quyền: Chủ nhiệm khóa 2016-2017, Nguyễn Nhân Đức: Phó Chủ Nhiệm khóa 2016-2017, Bùi Thị, Anh Phương: Trưởng ban Sự Kiện khóa 2016-2017, Nguyễn Công Hậu: Trưởng ban truyền thông khóa 2016-2107, Nguyễn Thắng Hải An: Phó chủ nhiệm khóa 2016-2107, Nguyễn Thị Phương: Trưởng ban tài chính nhân sự khóa 2016-2017, Triệu Khương Duy: Phó chủ nhiệm khóa 2017-2018, Nguyễn Quốc Bình: Chủ nhiệm khóa 2017-2018, Chu Văn Đăng: Trưởng ban sự kiện khóa 2017-2018, Lê Duy Bách: Thành viên ban đào tạo khóa 2017-2018, Nguyễn Quang Linh: Trưởng ban truyền thông khóa 2017-2018, Đỗ Hoàng Phương Thảo: Trưởng ban tài chính nhân sự khóa 2017-2018, Lê Bình Dương: Chủ nhiệm khóa 2018-2019, Trần Đại Nghĩa: Chủ nhiệm khóa 2018-2019, Trần Việt Huy: Trưởng ban đào tạo khóa 2018-2019, Đỗ Mai Phương: Trưởng ban sự kiện khóa 2018-2019, Nguyễn Mạnh Cường: Chủ nhiệm khóa 2019-2020, Nguyễn Thế Anh: Phó chủ nhiệm khóa 2019-2020, Nguyễn Tùng Lâm: Phó chủ nhiệm khóa 2019-2020, Nguyễn Văn Tuệ: Trưởng ban đào tạo khóa 2019-2020, Trần Văn Thắng: Trưởng ban sự kiện khóa 2019-2020, Nguyễn Văn Hòa: Chủ nhiệm khóa 2020-2021, Nguyễn Văn Học: Chủ nhiệm khóa 2020-2021, Hoàng Đức Minh: Phó chủ nhiệm khóa 2021-2022, Nguyễn Duy Dũng: Phó chủ nhiệm khóa 2021-2022, Lê Xuân Minh: Phó chủ nhiệm khóa 2021-2022, Cồ thị Phương Hoa: Chủ nhiệm CLB khóa 2021-2022, Trần Vân Anh: Trưởng ban tài chính nhân sự khóa 2021-2022, Lê Quang Dũng: Trưởng ban truyền thông khóa 2021-2022, Đoàn Ngọc Khánh: Trưởng ban sự kiện khóa 2021-2022, Nguyễn Tiến Hùng: Phó chủ nhiệm khóa 2022-2023, Đỗ Xuân Hướng: Chủ nhiệm CLB khóa 2022-2023, Lưu Minh Hiếu: Phó chủ nhiệm khóa 2022-2023, Phạm Thị Linh Mỹ: Trưởng ban tài chính nhân sự khóa 2022-2023, Đặng Nguyệt Minh: Trưởng ban sự kiện khóa 2022-2023, Nguyễn Quốc Hưng: Trưởng ban đào tạo khóa 2022-2023, Đinh Hoàng Anh: Phó chủ nhiệm khóa 2023-2024, Đặng Trung Hiếu: Chủ nhiệm khóa 2023-2024, Phan Thanh Tân: Trưởng ban sự kiện khóa 2023-2024, Nguyễn Bá Việt Hoàng: Trưởng ban đối ngoại khóa 2023-2024, Bùi Thế Vĩnh Nguyên: Chủ nhiệm CLB khóa 2024-2025, Nguyễn Hoa Thanh Tùng: Phó chủ nhiệm khóa 2024-2025, Đặng Huyền Trang: Phó chủ nhiệm khóa 2024-2025, Giáp Minh Hiếu: Trưởng ban đào tạo khóa 2024-2025, Phan An Phúc: Trưởng ban sự kiện khóa 2024-2025, Đỗ Vũ Hải Đăng: Trưởng ban truyền thông khóa 2024-2025, Phạm Mai Linh: Trưởng ban đối ngoại khóa 2024-2025, Trần Ngọc Ánh: Trưởng ban tài chính nhân sự khóa 2024-2025"
94,"Quyền lợi: Được tham gia vào các hoạt động của CLB. Được tham gia ứng cử, đề cử, bầu cử các vị trí lãnh đạo. Được tham gia đóng góp ý kiến xây dựng và phát triển CLB. Chia sẻ và được chia sẻ kiến thức, kỹ năng cần thiết. Các thành viên có quyền bình đẳng như nhau. Thỏa sức tham gia tìm hiểu, phát triển các lĩnh vực khác nhau không có giới hạn.Được tham gia vào các team dự án khi có đủ kiến thức."
95,"Nghĩa vụ: Tham gia đầy đủ, nhiệt tình, có tinh thần trách nhiệm cao trong các hoạt động của CLB. Chấp hành nghiêm chỉnh nội quy của CLB đề ra. Hoàn thành nhiệm vụ được giao đúng thời hạn quy định. Hoàn thành đóng phí hoạt động hàng tháng đúng thời gian quy định. Tham gia đóng góp ý kiến, xây dựng và phát triển CLB."
96,"Tác phong: Đi học, tham gia sự kiện đúng giờ. Các thành viên nên đến sớm trước 5 phút so với giờ bắt đầu. Đối với người chủ trì buổi học, sự kiện nếu sau 15 phút không có mặt, các thành viên tham gia có thể tự do ra về nghỉ ngơi, và báo cáo lại cho Ban nhân sự. Nếu đến muộn phải xin trước 2 tiếng, nếu nghỉ phải xin trước 1 ngày, liên lạc trực tiếp với người chủ trì buổi đó. Đối với người chủ trì buổi đó, đến muộn phải thông báo lùi lịch trước 12 tiếng, nếu nghỉ phải thông báo nghỉ và kế hoạch tổ chức bù trước ít nhất 2 ngày. Khi sinh hoạt ở CLB, yêu cầu mặc quần áo nghiêm túc, sử dụng quần dài quá đầu gối, không sử dụng các loại áo ba lỗ, áo croptop, áo hai dây hoặc các loại tương tự. Không đi dép lê trong các hoạt động của CLB. Nhận được thông báo về lịch học, sự kiện,… thì đều phải trả lời xác nhận theo hướng dẫn của người đăng bài. Ăn nói, giao tiếp, ứng xử có văn hóa."
97,"Học tập: Trong giờ học phải nghiêm túc, không làm việc riêng. Nếu phần kiến thức buổi học đã nắm được, vẫn cần có mặt đầy đủ, nghe giảng đầy đủ và NÊN chủ động hỗ trợ các bạn khác. Thực hiện nhiệm vụ được giao một cách nghiêm túc, trách nhiệm. Khi được giao deadline phải chú ý hoàn thành đúng deadline. Khuyến khích và tuyên dương các cá nhân có khả năng tự học. Trong các buổi kiểm tra, contest, yêu cầu tuyệt đối không gian lận."
98,"Văn hóa: Tương thân, tương ái, sẵn sàng hỗ trợ, giúp đỡ không chỉ các bạn trong CLB, mà cả các CLB khác, các bạn trong trường, thầy cô,… khi mọi người cần sự giúp đỡ của mình. Hòa đồng và hết mình, nhiệt tình trong các hoạt động. Không nói bậy, ứng xử thiếu văn hóa. Khi liên hoan, phải đợi tất cả đều có phần mới bắt đầu ăn. Mặc áo CLB trong các buổi họp tháng và sự kiện quan trọng. Học thuộc 3 bài hát truyền thống của CLB. Khi hát bài hát truyền thống phải hát to, rõ ràng. Khi ngồi họp hay sinh hoạt vòng tròn, tập thể, sự kiện thì tôn trọng những người đang nói. Hạn chế tối đa tình cảm nam nữ với thành viên CLB. Khi sử dụng trụ sở: Giữ gìn tài sản vật chất bên trong. Trước khi ra khỏi phòng: Tắt điện, tắt nước. Dọn phòng. Xóa bảng. Tắt ti vi. Đóng kín cửa sổ, cửa đi. Đi lại nhẹ nhàng, giữ trật tự, không làm ồn.Nếu vi phạm sẽ phạt cả nhóm sử dụng phòng hôm đó. Đóng quỹ CLB đúng thời hạn."
99,"Khen thưởng: Mỗi tháng mới, các thành viên sẽ đều có 100 điểm rèn luyện. Với mỗi vi phạm sẽ bị trừ điểm tương ứng theo nội quy. Mỗi tháng sẽ chọn ra 3 thành viên có số điểm rèn luyện cao nhất trở thành: “Thành Viên Tiêu Biểu”. Các “Thành Viên Tiêu Biểu” sẽ được tuyên dương trên fanpage của CLB, và các hình thức khen thưởng khác (nếu có)."
